נאמבר 1  Groove להקה ע נ ק ית הופעה ענקית וכמה אנרגיה טובה מחכים כבר ללייב הבא ,🎶
נאמבר 1  Groove להקה ע נ ק ית הופעה ענקית וכמה אנרגיה טובה מחכים כבר ללייב הבא ,✌️
שומעיםםםםםם ? אני מתאהבת בכם יותר בכל פעםם אז אם אי פעם אראה בקרבתכם פירמידה תדעו שאביא לכם מכותתת  כבר נשבר לי מספיק ,❣
קטלני ,🔥
איזה כיף לראות את עצמי ברקע,🤣
איזה כיף לראות את עצמי ברקע,🤗
איזה שיר!!! ואיזה קליפ,👍
זכות שיש אותכם אצלנוווואיזה אמנים אתם ,❤️
לחיי הדג הזה ,🍻
אין אין זות הלהקה אחת ו היחידה הדג נחש כל שיר בום פצצצה חזק וגרובי אני מגיל קטן שומע אותם וכל פעם נותן הרגשה טובה ,😃
אההההההה,🍫
בת דודה שלי שם,👑
מושלם,🔥
מושלם,😎
יששששששששששש &quot;מביטים במרתף תראו מה נהיה&quot; תודה ,🤘🏾
יששששששששששש &quot;מביטים במרתף תראו מה נהיה&quot; תודה ,🎶
אשכרה המכונה של הגרוב! הכי מגניבים בארץ,❤️
ערוץ הכיבוד על אסיד ג&#39;אז אהבתי אחושקשוקה ,😎
אלופים שיר מצוין איזה כיף לפתוח יוטיוב ולראות שיר חדש ,😍
פצצתי המלך,🦾
פצצתי המלך,🤚
פצצתי המלך,💞
ראשון! ,😅
ראשון! ,❤
מעל עשרים שנה מאז צאת השיר והוא רלוונטי יותר מתמיד אין עוד כמוכם,❤️
מעל עשרים שנה מאז צאת השיר והוא רלוונטי יותר מתמיד אין עוד כמוכם,🔥
אתם אף פעם לא מפספסים לא יודעת איך זה אפשרי אבל זו עובדה שיר מדהים ,❤
לאפל מיוזיק,🙏
רק הקטע של ה &quot;הללויה&quot; על ספידים מהאלבום חסר ,😎
איזה מטורף היהההה,🔥
מטורףף!! תעלו את כל ההופעה לספוטיפי וליוטיוב,😀
יאא!  הצוללת הישנה! וגם ירון גולדברג ילד!  נוסטלגיה חופשי זוכר את הלהקה מאז אשכרה יותר מ-20 שנה הולכים איתכם באהבה גדולה! ואתם תמיד זוכרים את המעריצים ,😋
יאא!  הצוללת הישנה! וגם ירון גולדברג ילד!  נוסטלגיה חופשי זוכר את הלהקה מאז אשכרה יותר מ-20 שנה הולכים איתכם באהבה גדולה! ואתם תמיד זוכרים את המעריצים ,❤️
יאא!  הצוללת הישנה! וגם ירון גולדברג ילד!  נוסטלגיה חופשי זוכר את הלהקה מאז אשכרה יותר מ-20 שנה הולכים איתכם באהבה גדולה! ואתם תמיד זוכרים את המעריצים ,🤓
ללא ספק הלהקה הכי טובה בארץאבל עד שיש הזדמנותלעשות הופעה עם פלילסט של:עסקיםבראשיתשביתהחליפותרק פהסאגהלהתחלק בעירבלה בלסימהסטטיסטיקהבחרתם יותר מנייסטריםמצפים להופעת מחאה אמיתי,🥰
ללא ספק הלהקה הכי טובה בארץאבל עד שיש הזדמנותלעשות הופעה עם פלילסט של:עסקיםבראשיתשביתהחליפותרק פהסאגהלהתחלק בעירבלה בלסימהסטטיסטיקהבחרתם יותר מנייסטריםמצפים להופעת מחאה אמיתי,🤩
ללא ספק הלהקה הכי טובה בארץאבל עד שיש הזדמנותלעשות הופעה עם פלילסט של:עסקיםבראשיתשביתהחליפותרק פהסאגהלהתחלק בעירבלה בלסימהסטטיסטיקהבחרתם יותר מנייסטריםמצפים להופעת מחאה אמיתי,😍
שיר מדויק אז בואו נשבור את המעגל שוב?!,👏🏻
מי פה באוגוסט 2021? עוד יומיים שנה שלמה לשיר המדהים הזה! ואני רוצה להודיע על פתיחת ההצבעה לשיר השנה בגלגלצ בעוד שבועיים בערך וגם &quot;בומבה&quot; יהיה מועמד שם תצביעו בבקשההההה מגיע לשיר הזה להיות גבוה!!!,💖
מי פה באוגוסט 2021? עוד יומיים שנה שלמה לשיר המדהים הזה! ואני רוצה להודיע על פתיחת ההצבעה לשיר השנה בגלגלצ בעוד שבועיים בערך וגם &quot;בומבה&quot; יהיה מועמד שם תצביעו בבקשההההה מגיע לשיר הזה להיות גבוה!!!,🙏
אנחנו נמצאים בישראל לא בעזה לידיעתכם ,🇮🇱
לא פשוט לא,🇮🇱
אנחנו רק ביבי אבל השיר פצצהה 2020 קורונה,🤧
אנחנו רק ביבי אבל השיר פצצהה 2020 קורונה,😷
ענקיים ומוכשרים כל מילה בומבה! ,❤️
אחלה שיר,🔥
לא מסכימה עם כל המסרים בשיר אבל אוהבת אתכם מאוד וכיף שאנחנו חיים במדינה שכל אחד יכול למחות להרים את הקול ולשיר מה שיש לו על הלב אליפות ,👌
בוזזזזזזזזזזזזזזזזזזזז שיר מגעילללללללללכמו חידקיםםםםםםם בוזזזזזזזזזזזזזזזזזזזזזז,👎
אלופים,🤗
אֵשׁ ,🔥
לא יהיה ממשלה אבל השיר משקף יפה את המצב⁦,❤️
לא יהיה ממשלה אבל השיר משקף יפה את המצב⁦,🥴
אלופים!! שיר חזק! רק אצלכם זה לייק לפני ששומעים את השיר⁦⁩⁦⁩,♥️
חזק אהבתי,😂
חזק אהבתי,👍🏼
וואוו ,😂
וואוו ,🔥
שיר ,🤣
וואוו איזה נדיר! ,👑
שיהיה כבר הראשון לפברואר,🤩
תמיד אני אומר &quot; הפעם אני הולך&quot; בסוף לא הולך ומתבאס איזה ייבש אני ,🙄
אלופים! איזה כייף היה לערוך את זה ,❤️
שירת הסטיקר היה פצצה,🔥
וואו,❤
וואו⁦⁩,❤️
איזה יפה  מדהים!!,😍
גיא זה עומר הבן של ליאורה ואח של נוגה אתה יכול להצמיד את התגובה שלי מת עליכם מלכים,🤩
2022 מי כאן לפני פסחח היידהההההה,❤
ואוווו עכשיו שמעתי את השיר אתם מושלמים אלופים,😘
אתם מביאים את המוזיקה של היום לסבבה ויותר כי אין כמעט מוזיקה טובה ב2020 מביאים את המוזיקה בלי פוזות או תחפושות ,👍🏼
אחד השירים ,😍
וואי אלופיםם,😻
גירסה מהממת,💃
אחד השירים הטובים בכל הזמנים ,💙
וואוו ואוו אין מיליםםם,🤟
הדג נחש תודה רבה אין עליכם כל הכבוד תמשיכו ככה :),❤
מהמם! כל הכבוד על העזרה והתרומה ל Little man ,😇
מהמם! כל הכבוד על העזרה והתרומה ל Little man ,😉
שיר טוב ממש אבל לא כמו שאר השירים שלכם שהם ממש טובים אבל ממשאבל זה גם שיר טוב,❤️
מת על השירים שלכם,👍
פאק איזה אחים אני בסרטון חם אחושרמוטה ,🔥
תגובה שנייה לדג נחש!וואלה שאפו לי,😅
נשמות טהורות כולכם,💜
אני הייתי שם,🤪
אני הייתי שם,😱
כל הכבודדדדדדדדדדדדדדדד,❤
אין לי מילים פשוט מושלם,😏
שירררר נדיר ביותר ,😍
זמרת מדהימה ,💕
מושלם ,💓
אחלה שיר   ,👌
אחלה שיר שיר רגוע ,🤣
אחלה שיר שיר רגוע ,😘
סוף סוף,🔥
מעולה! נשמח לעוד כאלה ,😉
מאוד אהבתי! אשמח אם יהיו עוד כאלה סרטונים בסגנון של &quot;איך זה קורה&quot; בטוח שיש מי שיסכים איתי,😉
מעולה קליפ מרגש בטירוף,😥
איזה כיף שהעלתם את המקורי אמרתי אם לא היה עד עכשיו כנראה לא יהיה גם,❤
סוף סוף חזר הקלאסיקה הזאת ,😍
מה נגיד? מה נגיד? שיר חינוכי,😅
לא רוצה שאתם תפסיקו!⁦⁩,❤️
לא רוצה שאתם תפסיקו!⁦⁩,🔥
ממש אהבתיטוב מאוד ,😜
ממש אהבתיטוב מאוד ,🎸
מעולה יגברים אוהב אותכם,👍
עם הזקן החדש צריך לקרוא לך- שאנן דרבנן,😂
עם הזקן החדש צריך לקרוא לך- שאנן דרבנן,❤
חתיכת קאבר,🤩
אני לא יכול לתאר במילים כמה אני מעריך אותכם ואוהב אותכם ,🙏
אני לא יכול לתאר במילים כמה אני מעריך אותכם ואוהב אותכם ,😍
כפרה איזה שיר טובהלהקה האהובה עליי מכה שנית,😂
כפרה איזה שיר טובהלהקה האהובה עליי מכה שנית,🔥
כפרה איזה שיר טובהלהקה האהובה עליי מכה שנית,💪
כפרה איזה שיר טובהלהקה האהובה עליי מכה שנית,❤
אין עליכם,❤️
אני רוצה לעשות לייק 150 פעם! אמיתי ונכון מאוד אהבתי,❤️
בערב אני מסטול התחלתי קצת לעוף עכשיו אלוהים גדול,❤
אין עליכםםםםם,❤
ווואווו להקה ענקית עם כלכך מעט הערכה בארץ באמת שאתם בין הטובים בתחום ,😍
מדהימים אתם ,💜
אחלה וולוגהגעתי מגרעיני ,😝
לייק ! ראיתי לייב בהופעה שלכם ביום העצמאות לפני יומיים ,✌
