הי מישל אני צריך עזרה אני קונה מחשב בעוד חודשים ואני לא סגור עם ללכת על אינטל או AMD או עם בכלל כדי בקנות או לחכות(צריך מחשב לעבודה וגימיניג בקטנה),♥
מישלללל יתותח על ראיתי את ההשקה גם אבל כל מה שבער לי בראש באותו יום ועד הרגע הזה זה מתי יוצא הסירטון של מישל על ההשקה הזאת כברררר,😂
כונני pcie 5 כנראה לא ייקרו את המחשב כי לא יצטרכו לקנות RAM ,🤣
הבעייה בשדרוג מעבד עכשיו היא שזה יוביל להחלפה של חצי מחשב,😂
אחלה סרטון אין כמוך מישל בלעדייך לא יודע מה הייתי עושה,❤️
ראשוןההשקה הייתה פצצה,❤️
על הסידור כבלים מגיע לגיא 10 על הmicro atx 5 מ10על כל הבנייה 85 מ10ואתם אדירים! גיא ואתה כמו ארבעת המופלאים גיא הוא בן גרין הסלע ואתה מישל הקפטן הגמיש כי אתה בניגוד לגיא גמיש במחשבים ולא ממליץ לכל אחד לשדרג רק כדיי לשדרג וגיא כן ,😁
טירוף אמיתי באמת ,😁
נסה את F1 22 או Asseto corsa competizione שם זה המבחן האמיתי של ההגה הזה ,😊
חולה על הערוץ הזה,🥰
אחלה סרטון,🙃
קניתי כזה בדיוק לפני חודש ,😁
כמו תמיד אני נהנה מהסרטונים שלך ובמיוחד מה שעלת כרגע וזה כלכך נכון שאינטל קיבלה כאפה מצלצלת! חחחח מחכה לסרטון הבא ,😎
שהוא הפיל את המעבד רגע אחרי שאמרת לו להיזהר אנימת,🤣
היי מישל אני קונה מחשב ממש ביום ראשון אשמח לדעת מה ההסדל בין לוח האם Z690 ud לZ690 Aorus Master? שתיהיה שבת שלום,🎖
הגיימרים של היוםהרכבתי את המחשב הראשון שלי בגיל 15,🤦🏾‍♂️
מחכה לסרטון שלך מנצח אותו בפורזה,😂
שהוא הפיל את המעבד רגע אחרי שאמרת לו להיזהר אנימת סרטון פצצה מישל ,🤣
שהוא הפיל את המעבד רגע אחרי שאמרת לו להיזהר אנימת סרטון פצצה מישל ,🔥
אני מת שהם לא יודעים איך לאכול את השפה של מישל,😂
סרטון מדהים כמו תמיד!מישל אשמח אם תעשה סרטון שמדבר על תחזוקהמה עושים אחריי בניית מחשב?מה צריך לתחזק? כרטיס מסך איך מנקים?מלבד ניקיון אבק מה הדברים שחשוב לשים לב אליהםחושב שזה סרטון שעוד לא היה בערוץ ,🙏🏻
סרטון מדהים כמו תמיד!מישל אשמח אם תעשה סרטון שמדבר על תחזוקהמה עושים אחריי בניית מחשב?מה צריך לתחזק? כרטיס מסך איך מנקים?מלבד ניקיון אבק מה הדברים שחשוב לשים לב אליהםחושב שזה סרטון שעוד לא היה בערוץ ,🔥
סרטון מדהים כמו תמיד!מישל אשמח אם תעשה סרטון שמדבר על תחזוקהמה עושים אחריי בניית מחשב?מה צריך לתחזק? כרטיס מסך איך מנקים?מלבד ניקיון אבק מה הדברים שחשוב לשים לב אליהםחושב שזה סרטון שעוד לא היה בערוץ ,💚
בבקשה תהנה ו (תנו ליק),👍
מישל יאח סרטון טילרק שהפוקוס איבד את עצמו,🤙
מישל יאח סרטון טילרק שהפוקוס איבד את עצמו,🥲
מישל מה הלוז עם הפוקוס???,😵‍💫
מלך חולה עליך ועל הסרטונים שלך,🤴
מישל חשבת על לשים את השולחן במיקום יותר נוח? קשה לי לראות אותך נדחק שם ,😅
חולה עליך מישל אה ואגב ראשון ,😉
מי רעב תעשו לייק ,😀
אגב זה שהמשחק Steam Deck Verified זה אומר שהוא עובד מצויין על לינוקס דרך Steam Proton,✅
המשחק Steam Deck Verified כשאני יקבל סוף סוף סטיים-דק זה אחד המשחקים שאני בטוח הולך לשחק,✅
סרטון מטורף! אבל יש לי שאלה השאלה היא איזה הגדרות כדאי לי לשים בספיידרמן 2018 המפרט שלי הוא Rtx 3080i7 870016 ramאני מאוד מתרגש לקראת היציאה של ספיידרמן למחשב מכיון שלעולם לא היה לי פלייסטיישן ותמיד רציתי לשחק בספיידרמןיום טוב ,😃
תותח אין מילים,👏
תותח אין מילים,👍
סרטון מעולה כמו תמיד ,😄
המשחק ווצא עוד יומיים מותר להוציא סרטון?,😱
לוח מקסימוס זיבי זיבי ,🤣
למה אין אזהרה לא לבעלי לב חלש ,😱
מאחל לכול 1 ואחד בישראל מחשב כזה אצלו בבית ,🖥
וואו מפלצת ,😳
מישל מה הבדל בין הסופר אדישן לרגיל?,😎
גיא יושב מישל עומד,🤣
&quot;מקסימום זיבי זיבי&quot;,🤣
איזה מבאס שניגמר הסרטון מת עליכם,😔
איזה מבאס שניגמר הסרטון מת עליכם,🙃
מטורפים! אבל חשבתי שAlienware Aurora R13 הוא החזק בארץ,🙌
מטורפים! אבל חשבתי שAlienware Aurora R13 הוא החזק בארץ,❤️
מטורפים! אבל חשבתי שAlienware Aurora R13 הוא החזק בארץ,🤔
מת אליך ימלך ,👏
אני עם RTX 2060 ,😢
סרטון ממש טוב אשמח שתענה לי על השאלה זה טוב במחיר של 4500? לוח אם: Gigabyte intel ChipsetSupport for DDR4 Dual Channel LAN PCIE DVI HDMI VGAמעבד: Intel Core i7-9700 Processor 12M Cache up to 470 GHz זיכרון : 16GB DDR4 3600Mhz דיסקים קשיחים: 1000GB 7200RPM כרטיס מסך: NVIDIA GeForce GTX 1650 4GB GDDR5 Gaming Edition כרטיס רשת + כרטיס קול: 10/100/1000MBPS + Audio 71 Channel USB: 8 כניסות USB חיבור מסך: HDMI DVI VGA אשמח שתענה בבקשה,®
