עשית משהו לפני? נשיתי לא עבד,🤨
רמאות,🤮
חנקן יורדים האדים למטה כי הם קרים ואם הברזל היה חם באמת המים היו מתאדים חלקם אפילו משפריצים אבל האדים כלפי מעלה עד כאן לעניות דעתי,😉
Omg עלה הסרטון שלי!!!,🤩
מקסים ,🔥
וואי וואי אם לא היו מכונות מחיר הלחם היה ב ,🌤
ממש מגניב  כל הכבוד למדע,😃
נראה אותך עובר דרך מה שאני עברתי לפני שאכלתי את כל האוכל המשמין הייתי עובר בקלות דרך העינית של הדלת אבל פעם אחת עברתי דרך אותה עינית ונפלתי מהצד השני אז כדי שזה לא יקרה שוב עשו זכוכיות על העינית,😂
נראה אותך עובר דרך מה שאני עברתי לפני שאכלתי את כל האוכל המשמין הייתי עובר בקלות דרך העינית של הדלת אבל פעם אחת עברתי דרך אותה עינית ונפלתי מהצד השני אז כדי שזה לא יקרה שוב עשו זכוכיות על העינית,🤣
עלה כי נוסף לחומר צמר הפלדה חמצן שגם יש לו מסה בגלל זה עלה המשקל של צמר הפלדה ,🤗
אני מתה על מכון דווידסון!!! כל סרטון שלכם מעניין ומרתק,♥️
כן אבל מי ירצה לשרוף יהלום?,😂
איזה חמוד הוא!  עכשיו יותר מעריך את היד,❤
כל הכבוד מיכאל תלמידך מעריכים אותך,😍
וירוס זה בהחלט מבחן לIQ,🤦
חחחחחח ,😢
סוף סוף עשית לנו סדר בצורה מופשטת וברורה,👍
אבל מה עם הכלכלה?!,😥
הסבר מצוין,👍🏻
הסבר נפלא!!!אבל לצערי אין לאנשים אחריות אישית אנשים לא יודעים להיות בשיגרה ולשמור על הגיינהכבר ביום הראשון שעשו הקלות בסגר ראיתי המון תמונות של חברים שהעלו חברים נפגשו התחבקו ויצאו לטבע וזה כואב לי כי זה אומר שבדרך טבעית נישאר במצב הנורא הזה עוד הרבה שניםאנשים יקרים!!!!!רוצים חיים נורמאליים?? תחמירו עם הזהירות!!! תלכו עם אלכוהול ותחטאו כל דבר ולפני שאתם נוגעיםוכפפות לא עוזרות אם אתה מתחבק עם חבר ואז נוגע בענייםוגם מסיכה שלא מכסה את האף והפה לא עוזרת בואו נעשה מאמץ!!! וננצח!!!,😷
וואוו איך הרים לי את המצב רוח ,😀
אפילו הצייסר יודע שסרטו מושלם רק באורך של 420,💚
מהמם ,🐒
יופי של סרטון הסברה,👌🏼
יופי של סרטון הסברה,💪
יש אנשים שרגישים לקרינה ברמות שונות אני אחת מהן הקרינה גורמת לי לכאבי ראש מיגרנוטיים ומפריעה לגלי השינה ( כשאני מתפתה לפני השינה להסתכל בטלפון ) גיליתי שיש בפייסבוק 2 קבוצות לפחות של אנשים שרגישים כמוני לקרינה ואפילו בצורה קיצונית לא נראה שמי שממציא את הדברים האלה מודע לבעיה ולכאבים שהקרינה גורמת לבני אדם או שכן ואז זה יותר חמור,🤨
ראיתי את זה מזמן במכסחי המיתוסים במדע לא מסתפקים בניסוי אחד ,😉
זה מה שצריך!,👍
