זכור לי שעומרי מילינסקי עשה את זהאוהבת אות עומריי,♥️
נוסטלגיה ,🥺
מה אתה הולך לפרוש,😂
לא שכחתי ימלך,❤️
שיבולת סרטון טוב מאודדד,❤
יפה ,👍
יפה ,❤️
יפה ,🇮🇱
גם לי יש טלפון כזה,😅
תמשיך לעשות שיבולת מדרג,❤️
בסוף לא אמרת מה הדירוג,🤣
Free Palestaineאין כזה דבר ~ישראל~ רק פלסטיןןןן,🇵🇸
אתה יכול להגיד לי איך קוראים לשיר הזה?ימלך סירטון טוב,🙏
איפה אתה עכשיו ? ,🤔
איפה אתה עכשיו ? ,🤭
פעם היית מצחיק ואז התחלת לדרג,😔
בסדר,🐺
בסדר,🤨
שלישי ,🤣
תדרג עוד דברים!,😺
איזה פרצוף דפקת בסוף,😄
לחם,🍞
אם מתעלמים בהnft אז זה משהו כמו 12 שקל לקופסה ואללה שווה רצח,😅
אם מתעלמים בהnft אז זה משהו כמו 12 שקל לקופסה ואללה שווה רצח,🤤
2022 אהלןןןןןןאהלן!,😑
לא אלאל,😡
לא אלאל,😾
לא אלאל,🤬
לא אלאל,💢
יה  מלך!,😎
יה  מלך!,👑
טובאנייורת,🇮🇱
טובאנייורת,😽
6 מיליון צפיות לשיבולת ,😱
0 מתוך 0,🥵
0 מתוך 0,🥶
1820 ( מי שיצליח לפענח מה רשמתי לייק),👍
גם אני יודעת לעשות ככה,😅
איי אני מרגיש כאב חד בברך עכשיו,😭
שלום ,😁
זה הזה מפורט נייט!! ,🤣
לא נמאס לך?,😂
זה בחיים לא ימאס לך,😄
קורא,🤣
אני שונא אותך ,😂
אני שונא אותך ואוהב אותך בו זמנית,😂
מדרג יד לא עוגה ,😂
10/10 יאמלך,🤣
10/10 חחחח,😘
שייייייי חנקת אותיייײיי,🤣
מה יובל לקח היום?,🧐
אני ראשונה,🤗
אני ראשונה,🤩
האבוקדו הכי מספק מי שחושב שיתן לייק,👍
אי-אפשר להפסיק,🤣
פפה פיג ,🐷
מתתתתתתתתתתתת השמלית הרגה אותי ,🤣
די לדבר אנגליתתתתת ,😡
יואו מושלם,💞
אומי גדדד ,😱
כל הזמן הזה באמת חייתי בשקר אחשב אני אוכל את הקומקום שלי ו זה עובד ,😂
שלום אני סאפא ממרוקו אני אוהב אותך ,🇲🇦
שלום אני סאפא ממרוקו אני אוהב אותך ,❤
שלום אני סאפא ממרוקו אני אוהב אותך ,🇮🇱
רק באמצע הבנתי שהוא מדבר וזה בעברית,😂
זה נראה כמו כמוביצים,😏
בגללך אבא שלי לא מרשה לי טיקטוק (לא ציניות אבא שלי מחק שלי טיקטוק עם 3000 עוקבים בחודש אני שונאת אותך)אה ויש לי פוסטר שלך בחדר וחלוצה שלך ושל כל החברה פריזי אתה מקריטה עם חתימות של כולכם אתה יכול לעקוב אחריי העמוד ביוטיוב שלי פליז,❤
קיסר תחשוב ליפניי שאתה מאלא,🤣
3 ביצים,😂
3 ביצים,😁
3 ביצים,🙈
3 ביצים,🥚
3 ביצים,😄
אמממ ,🍆
קיסר מה יש לך שם?,😂
חחחח שיבולת לא פמילי פרנדלי,🤣
 WFT מה זה הדבר הזה,🤣
מה אתה עושה למחייתך,✨
גדול,🤣
השיר של imagine dragons ,😍
כל כך נכון (אבל ברצינות סדרה מטורפת),🤣
חזרנו לסרטונים המקוריים?,🙃
מההה איך מצאת ??,🤣
הרגע אזה אתה צופה בה מר שיבולות ,😂
יש המון דרכים להרוג את החילזון בלי לגעת בו למשל פשוט לפזר עליו מלח או פשוט לזרוק אותו מצוק או משהו והדפקט מת,🐌
 ובלי קשר אוף כי נגמר לי חבר המועדון זה פשוט בגלל שאבא שלי כרגע לא מרוויח כמו שצריך,🐌
מוזיקה של אנדרטייל,🤔
כל כן נכון,😂
רק אתה יכול לחשוב על דברים כאלה,😅
אוליבר טרי!!!,🔥
השיבולת אליאנה ושיב,😂
חחח,🤣
יואו איזה מצחיק לוללל,🤣
שראיתי את השיבולת חשבתי באמת על הערוץ,🤣
אתה הדבר הראשון שחשבתי עליו שראיתי אותה בתוכנית,🤣
באמת מעניין מאוד מי זה ,😉
חבל על מי שעשה את זה,😢
אני מדרג את שיבולת: 1000000 מתוך 10 !!!!!! ,❤
אני מדרג את שיבולת: 1000000 מתוך 10 !!!!!! ,🏆
אני תמיד חותכת הצל ולא בוכה איך שהוא אני קוסמת,🤣
אני תמיד חותכת הצל ולא בוכה איך שהוא אני קוסמת,😅
פיפי למות,🤣
גם אני עשיתי את הדבר הזה בבית שלי ,😂
אני בוכה מצחוק,🤣
שוקולדשוקולדשוקולד!!!!!!!!!!!!!!!!!!!!!!,🍫
סוף סוף אתה לא מדבר! יופי עכשיו אני אוהב אותך יותר,❤️
יש חזרת לרגיל ,🙃
אוי ואבוי,😲
אוי ואבוי,😢
סוף סוף עברית אל תיתנו לדוברי האנגלית להגיע!!,✊
סוף סוף עברית אל תיתנו לדוברי האנגלית להגיע!!,🇮🇱
אתה נורא טוב באנגלית רק שיש לך מפטע לא כזאת ברורה מצטערת אם פגעתירק מנסה לעזור ,♥️
אתה דומה לספייסיקראפ באמת בהתחלה חשבתי שאתה הוא,😄
לא ראיתי את הסדרה אבל תמיד ראיתי את הקטע עם הקלפים האדומים והכחולים ותמיד חשבתי שמי שבוחר בכחול הוא שחקן ומי שבוחר באדום הוא האנשים המוזרים (הרוצחים)אולי זה נכון,🧐
היי שיבולת לא יודע אם תראה או לא כל עניין הדירוג כבר חא מצחיקיצאו איזה 5000 סרטונים של דירןג וזה כבר לא מצחיקממליץ לך לעתור את הסדרה כי זה לא מצחיק כברתודהאשמח רק ללב רק כדי לראות ששמת לב,❤
אני לא מאמין שאני תגובה 12 בערוץ עם רבע מליארד צפיות ,🤣
