אחלה סרטון תודה רבה יוסי יקר ,🙏
ווואו הלםם כל הכבוד אלוף תודה ,👏
תודה רבה ,❤
כל הכבוד לך ,👍
היי יוסי וואלה כל סרטון שלך ממש תענוג צרוף תודה רבה ,🙏
סרטון מעולה אבל הכרתי את כולן תעשה חלק שני לאפליקציות כאלו או שתעשה סרטון שלם על האפליקציה &#39;&#39;Replika&#39;&#39; כי זה ממש מעניין,🥲
תודה רבה ,😊
מטורף איך שהערוץ השתדרג פה מלפני חמש שנים ,🙏🏻
תודה רבה רבה על הקליפ המושקע אגב בעברית: שני חלונות*,❤
אני דורש סרטונים כאלו אבל לפרו יוזרס ,😁
אינפורמציה מאוד נחוצה כדאי לכולם ליישם תודה רבה יוסי יקר ,🙏
אני רק הערה קטנה ברשותך ;) רוב התוכן שלך בשנים האחרונות ממוקד למתחילים לעומת התוכן הישן שלך שהיה יותר מתקדם אני באופן אישי הייתי שמח אם היה שילוב גם לתוכן יותר מתקדם כמו פעם ,😎
אני רק הערה קטנה ברשותך ;) רוב התוכן שלך בשנים האחרונות ממוקד למתחילים לעומת התוכן הישן שלך שהיה יותר מתקדם אני באופן אישי הייתי שמח אם היה שילוב גם לתוכן יותר מתקדם כמו פעם ,✌️
אחלה סרטון תודה על ההשקעה,❤
מדריך מושקע היטב למדתי כמה דברים חדשים תודה רבה יוסי יקר ,🙏
תאמתי ידעתי פה הכל אבל שוב תודה רבה על הסרטון המושקע,❤
וואו איזה נוח שאני צופה בסרטון בגוגל  אגב תוכל לעשות סרטון איך עושים אתר בסיסי לא הכי מיוחד ?,😄
סרטון קטלני אחי תודה רבה ,🥰
אבל זה משחקים עלובים וישנים ,🫣
אחלה מאוד אהבתי תודה רבה יוסי יקר ,🎮
אחלה מאוד אהבתי תודה רבה יוסי יקר ,🙏
מלך,💪🏻
אחחחחח איכות הסאונד  מזכירה לי את הסמארטפונים של ASUS,👌🏼
שאלה: למה שאני רוצה להעלות סרטון ליוטיוב הוא לא נותן לי השמח מאור לתשובה תודה,😀
תותח אחלה סרטונים נרשמתי כמנוי,😀
היי יוסי ימלך בדיוק ביום שני קיבלתי טלפון אז אני משתמש בדיס שלך ,😁
אף פעם לא ידעתי איך לאיית את השם שלך,😒
גילית את אמריקה ,😂
אולי זה הזמן לזרוק שמה עכשיו 100 דולר  לא המלצה כמובן !!,😬
תודה יוסי יקר ,😊
נתתי עוקב ימלך,🤴
סרטון מדהים תותח ,👌
סרטון מדהים תותח ,♥️
סרטון מדהים תותח ,👍
ועוד איך רכשתי את הדבר המהמם הזה ב-4650 ש&quot;ח וקיבלתי מתנות מדהימות בשווי 800 שקליםמכשיר ששווה כל שקלאני מכורה לו ,😍
סקירה מעולה יוסי ,❤️
באלי,☺
באלי,😬
סרטון מטורף  גם לי יש ערוץ אני יודע כמה זה קשה להכין סרטונים ברמה כזות אבל אתה עדיין מצליח ,🔥
סרטון מטורף  גם לי יש ערוץ אני יודע כמה זה קשה להכין סרטונים ברמה כזות אבל אתה עדיין מצליח ,🙃
יפה!!,🔥
היי יופי של מדריך תודה רבה יוסי ,👌
היי יופי של מדריך תודה רבה יוסי ,🙏
תודה ,🙂
יוסי סרטון שעבר לא אמרת לי מה אתה אוהד,🤔
יש לך סרטונים טוביםםם נתנתי לייק,👍
אחי אתה נותן ערך מטורףףףףתודה ענקית,🙏
אחי אתה נותן ערך מטורףףףףתודה ענקית,👍
מעולה תודה רבה!יש לך מושג איך ניתן להוריד את הסימן מים מסרטוני רילס אחרי שהורדתי אותם למכשיר?,🙏🏼
אלוףף תודה רבה על הסרטון!!בעדכון האחרון עשו שתאורת ה EDGE היא קבועה לכל האפליקציות בהשוואה למה שהיה לפני העדכון שלכל אפליקציה היה את הצבע שלה יש דרך לשנות את זה ?,😕
אלוףף תודה רבה על הסרטון!!בעדכון האחרון עשו שתאורת ה EDGE היא קבועה לכל האפליקציות בהשוואה למה שהיה לפני העדכון שלכל אפליקציה היה את הצבע שלה יש דרך לשנות את זה ?,🙏
וואלה לא ידעתי בכלל שיש לי את האופציות האלו אני מאוד ישמח עם תוציא עוד סרטונים על אפשרויות בגלקסי תודה רבה מאוד,🙏
המון תודה על הסרטון וההסבר עזרת לי מאוד ,☺️
המון תודה על הסרטון וההסבר עזרת לי מאוד ,🙏
המון תודה על הסרטון וההסבר עזרת לי מאוד ,👍
מדריך מעולה! ,🔥
אחלה מדריך יוסי תמשיך לעשות לנו תוכן כל כך מדהים,💖
ווי תודה לפני ההגדרות שמעתי גרוע כעט הצלילים נקיים ומותאמים,😄
תודה רבה רבה עזרת לי מאוד אני מאוד ישמח עם תעשה עוד סרטונים על המון פיצ&#39;רים מענינים שאף פעם לא שמתי לב עליהם ,🙏
מצחיק שאתה מעלה סרטון כזה ב2022 אני כבר 3 שנים עם גלקסי s9+ וכבר לפני 3 שנים עשיתי את זה באותו יום שקניתי את הפלאפון הספקתי לקנות אייפון חדש כבר ,😂
תודה רבה על הסירטוןתהיה בריא,💜
הרגשתי הבדיל משמעותי תודה תותח,🥰
אלוףףףף ,♥
אלוף! תודה רבה ,😊
אלוף,💙
אלוף,🤍
אלוף,🇮🇱
אלוף,🙏
שמע יצרתי בפלאפון תיקיית כספת ואני לא זוכר את הסיסמה אז האפשרות השנייה היא מה שם אביך וזה גם משהו שאני לא זוכר מה כתבתי כנראה שלעולם לא אפתח אותה שוב,🥴
תמשיך לעשות כאלה דברים אני מת על הדברים האלה תודה ,😁
סרטון מעולה יוסי גם אני למדתי כמה דברים! ,♥️
אלוף  סרטון מעולה,🥇
בימים אלה אתה אף פעם לא יכול לדעת אם בן הזוג שלך נאמן שלח DM את השם למעלה לקבלת טיפים לטיפול לאחר פריצה))))),💯
בימים אלה אתה אף פעם לא יכול לדעת אם בן הזוג שלך נאמן שלח DM את השם למעלה לקבלת טיפים לטיפול לאחר פריצה))))),📩
בימים אלה אתה אף פעם לא יכול לדעת אם בן הזוג שלך נאמן שלח DM את השם למעלה לקבלת טיפים לטיפול לאחר פריצה))))),🔝
אלוף ,🏆
סרטון מעולה יוסי! אחד הדברים המגניבים ,😍
תודה אני מחכה ל-gallaxy note 22,🙏
תודה אני מחכה ל-gallaxy note 22,👍
לא הזמנתי כלום שלחו לי עכשו ב11 בלילה הודעה ,🤦‍♀️
מדריך חשוב ומפורט כמו תמיד! אין עליך,😘
עזוב פשוט שים במדיח ,🤣
מלך,👑
אמת זה מועיל תודה על הסרטון!,🙂
עדכנתיתודה רבה!,♥️
עדכנתיתודה רבה!,👍
תודה טוב כמו תמיד ,👌🏽
תודה טוב כמו תמיד ,👍🏽
איזה צבע מושלםםם,❤️
תודה רבה על האזהרה אלוף,💖
כל הכבוד לך יא אלוף,💖
ווינדוס ,🤮
למי שלא הבין עוד לא יצא עוד ווינדוס 11 זה יקרה רק בהמשך השנה כרגע רק למספר מוגבל של אנשים יש את גירסת הבטא יש למה לחכות,🤍
קודם כל תודה על הסרטונים ואם פתחתי ארנק טרזור וקצת הסתבכתי אפשר למחוק אותו ולפתוח חדש ? מה התהליך? למחוק את התוכנה ?,🖤
מישהוא שאל אותך איפה אפשר להחביא את הפורנו בטלפון ואתה עשית סרטון על זה,😂
סרטון מעולה תוכל לעשות גם סרטון על פאי על תהליך ההתקנה ויצירת הארנק,😁
נושא מעניין מאוד  אחלה הדרכה ,🔥
נושא מעניין מאוד  אחלה הדרכה ,💪🏻
אתה יכול בבקשה לעשות סירטון איך מקבלים רובקס מי רובלוקס כן בבקשה המון יוהאבו את זה אני אומר לך זה גם יעזור לי ממש ,🙏
אתה יכול בבקשה לעשות סירטון איך מקבלים רובקס מי רובלוקס כן בבקשה המון יוהאבו את זה אני אומר לך זה גם יעזור לי ממש ,❤
