עשית משהו לפני...? <br>נשיתי לא עבד,🤨
רמאות,🤮
חנקן יורדים האדים למטה כי הם קרים ואם הברזל היה חם באמת המים היו מתאדים חלקם אפילו משפריצים אבל האדים כלפי מעלה. עד כאן לעניות דעתי,😉
מקסים ,🔥
וואי וואי אם לא היו מכונות מחיר הלחם היה ב  ,🌤
ממש מגניב  כל הכבוד למדע,😃
נראה אותך עובר דרך מה שאני עברתי. לפני שאכלתי את  כל האוכל המשמין. הייתי עובר בקלות דרך העינית של הדלת. אבל פעם אחת עברתי דרך אותה עינית ונפלתי מהצד השני. אז כדי שזה לא יקרה שוב עשו זכוכיות על העינית...,😂
נראה אותך עובר דרך מה שאני עברתי. לפני שאכלתי את  כל האוכל המשמין. הייתי עובר בקלות דרך העינית של הדלת. אבל פעם אחת עברתי דרך אותה עינית ונפלתי מהצד השני. אז כדי שזה לא יקרה שוב עשו זכוכיות על העינית...,🤣
עלה כי נוסף לחומר  צמר הפלדה  חמצן שגם יש לו מסה בגלל זה עלה המשקל של צמר הפלדה ,🤗
אני מתה על מכון דווידסון!!! <br>כל סרטון שלכם מעניין ומרתק,♥️
כן. אבל מי ירצה לשרוף יהלום?,😂
איזה חמוד הוא!  עכשיו יותר מעריך את היד...,❤
"ידעתיייי , אז למה לא הצמדתה אותי לסרטון??",😢
"ידעתיייי , אז למה לא הצמדתה אותי לסרטון??",😭
יפה,😮
תודה ,😀
איזה  כיף שיש את הערוץ הזה!?,❤️
זה לא מלוכלך עם חלקיקים מהים ?,😀
אתה שחקן?,🔘
"ומה עם הציוד?! גם הציוד יתעופף ובסוף הם לא יוכלו לחזורבקיצור, קבל ביטול לא ממריאים לשם",😒
"ומה עם הציוד?! גם הציוד יתעופף ובסוף הם לא יוכלו לחזורבקיצור, קבל ביטול לא ממריאים לשם",😛
"רגע, אבל אם יהיו בתוך המערה אז סופות החול הנוראיות יכנסו גם למערה, המערה לא בטוחה. אלא אם כן, יבנו דלת ",😁
אבל איך? איך זה קורה כל התהליך הזה? <br>,🤯
מדהים,😂
מדהים,❤️
מדהים,👏🏼
מדהים,🤩
מעולה! איך קוראים לתכונה הזאת של המים? (שחכתי),😅
"כשנגמר הסרטון אדם צורח , אתם צריכים לשים אזהרה:&#39;&#39;אל תגבירו עד הסוף&#39;&#39; פעם הבאה תעשו משהוא כזה כי זה צרח לי באוזן ואני עם אוזניות︎",❤
"אני פעם אחת עשיתי &#39;&#39;כלום&#39;&#39; לחבר שלי, השוטר בא אמרתי לא עשיתי כלום&#39;&#39;, אז עשיתי לו כלום!!!",🤣
"איזה חמודים אתם ⁦⁩<br>אחלה ניסויים, תמשיכו כך! ",👍
"איזה חמודים אתם ⁦⁩<br>אחלה ניסויים, תמשיכו כך! ",❤️
"איזה חמודים אתם ⁦⁩<br>אחלה ניסויים, תמשיכו כך! ",😊
יש סיכוי שהכלבה שלי אוכלת קקי בלי שאני יודע?,🤔
קופרופגיה זו מילה חדשה ומרתקת ומגעילה,🤮
קופרופגיה זו מילה חדשה ומרתקת ומגעילה,🤢
"היי, גילוי חדש 2020, מדהים:<br>1- להתראות סטייה אוניברסלית &quot;אידוי-עיבוי-גשם&quot; <br>2- תיאוריה חדשה:<br>H2 + O -&gt; פיצוץ (ברק ורעם) + H2O (גשם)  תוך 2 דקות <a href=""https://youtu.be/NXK18Vq98zE"">https://youtu.be/NXK18Vq98zE</a><br>או כאן בדף ציור אחד <a href=""https://pdf.lu/FrwL"">https://pdf.lu/FrwL</a> <br>מחבר התיאוריה הזו באופן אישי איתך.",👎
"היי, גילוי חדש 2020, מדהים:<br>1- להתראות סטייה אוניברסלית &quot;אידוי-עיבוי-גשם&quot; <br>2- תיאוריה חדשה:<br>H2 + O -&gt; פיצוץ (ברק ורעם) + H2O (גשם)  תוך 2 דקות <a href=""https://youtu.be/NXK18Vq98zE"">https://youtu.be/NXK18Vq98zE</a><br>או כאן בדף ציור אחד <a href=""https://pdf.lu/FrwL"">https://pdf.lu/FrwL</a> <br>מחבר התיאוריה הזו באופן אישי איתך.",👍
אדם מתוק בטירוף<br>וההתלהבות שלו מדבקת <br>מחכה לפרק הבא...,😆
למה אין לך יותר סרטונים,🥺
וואו אתה פשוט מהפנט לצפיה!!! כל הכבוד על ההבעות המיוחדות שלך <br>,🤩
וואו אתה פשוט מהפנט לצפיה!!! כל הכבוד על ההבעות המיוחדות שלך <br>,😍
"הכותרת מטעה למרבה הצער , היה עדיף לכתוב &quot;מונוסודיום לא מזיק&quot;.",😅
איזה אנימציה יפה,😂
נתן ,❤️
נתן ,💙
כל הכבוד מיכאל תלמידך מעריכים אותך,😍
